,FCS_3plus_up,rCSI_3plus_up,hhs_3plus_up,lcs_3plus_up,hdds_3plus_up,phase3_plus_up,average3_up,overall_phase,yearmon,U-R,HFA-Number-Current,HFA-Percent-Current,HFA-Kcal-Perc-Current,HFA_total_Current
0,0.95,0.3,0.75,0.55,0.8,0.55,0.65,4.0,2022-03,Rural,671344.2399999999,0.4791177319401726,0.75,0.35924999999999996
1,1.0,0.3,0.85,0.7,0.9,0.55,0.75,4.0,2022-03,Rural,383041.54,0.5243080529760227,0.75,0.393
2,0.95,0.35,0.45,0.95,0.65,0.4,0.65,3.0,2022-03,Rural,298685.94,0.2772975813636044,0.5,0.1385
3,0.9,0.2,0.4,0.5,0.55,0.4,0.5,3.0,2022-03,Urban,91534.37999999999,0.3369801814488284,0.75,0.25275000000000003
4,0.95,0.25,0.7,0.65,0.85,0.55,0.7,4.0,2022-03,Rural,614381.1799999999,0.4530793441783005,0.75,0.33975
5,0.95,0.45,0.7,0.6,0.7,0.55,0.7,4.0,2022-03,Urban,298442.48,0.4590273282468788,0.75,0.34425
6,0.95,0.3,0.65,0.5,0.55,0.5,0.6,4.0,2022-03,Rural,285414.07999999996,0.4332658612679171,0.75,0.32475
7,1.0,0.3,0.4,0.75,0.9,0.55,0.65,4.0,2022-03,Rural,317498.16,0.4624258226632544,0.75,0.34650000000000003
8,0.8,0.15,0.25,0.65,0.35,0.35,0.45,3.0,2022-03,Rural,250217.66,0.33432112645367934,0.5,0.167
9,1.0,0.3,0.65,0.55,0.75,0.55,0.65,4.0,2022-03,Rural,657624.94,0.5076026065410882,0.75,0.381
10,0.9,0.15,0.45,0.7,0.6,0.45,0.55,3.0,2022-03,Urban,88349.65999999999,0.49370746400080384,0.75,0.3705
11,0.9,0.25,0.55,0.9,0.45,0.4,0.6,3.0,2022-03,Rural,772715.7200000001,0.42663432798995093,0.75,0.32025
12,1.0,0.4,0.55,0.85,0.95,0.5,0.75,4.0,2022-03,Rural,518010.49999999994,0.5097425315189733,0.75,0.3825
13,0.75,0.25,0.45,0.9,0.45,0.5,0.55,3.0,2022-03,Rural,384403.5999999999,0.21319255924443253,0.5,0.1065
14,0.75,0.1,0.25,0.45,0.35,0.45,0.4,3.0,2022-03,Urban,88093.04,0.7377365248250157,0.75,0.5535
15,0.95,0.2,0.45,0.7,0.6,0.45,0.6,3.0,2022-03,Rural,994382.7599999999,0.47940067119584934,0.75,0.35924999999999996
16,0.9,0.3,0.5,0.7,0.65,0.45,0.6,3.0,2022-03,Urban,318472,0.4128520526185194,0.75,0.30974999999999997
17,1.0,0.2,0.5,0.5,0.7,0.45,0.6,4.0,2022-03,Rural,301594.3,0.47282067043586656,0.75,0.35475
18,1.0,0.35,0.55,0.8,0.85,0.5,0.7,4.0,2022-03,Urban,70906.08,0.4363625974567876,0.75,0.327
19,0.95,0.45,0.55,0.8,0.4,0.5,0.65,3.0,2022-03,Rural,353964.51999999996,0.3515586455143903,0.75,0.264
20,0.9,0.35,0.6,0.85,0.4,0.5,0.6,3.0,2022-03,Urban,1971960.2,0.33356451541190685,0.5,0.167
21,0.7,0.15,0.35,0.6,0.4,0.5,0.45,3.0,2022-03,Rural,342311.33999999997,0.2954650839277323,0.5,0.1475
22,0.8,0.2,0.65,0.75,0.45,0.45,0.6,4.0,2022-03,Urban,301192.92,0.4290837974289778,0.75,0.32175
23,0.8,0.15,0.6,0.5,0.3,0.45,0.45,3.0,2022-03,Rural,211737.81999999998,0.32620124865116135,0.5,0.163
