,yearmon,fatalities,country_name
0,2017-01,28980,Afghanistan
1,2017-02,26556,Afghanistan
2,2017-03,38604,Afghanistan
3,2017-04,44172,Afghanistan
4,2017-05,52212,Afghanistan
5,2017-06,25812,Afghanistan
6,2017-07,50964,Afghanistan
7,2017-08,42576,Afghanistan
8,2017-09,32148,Afghanistan
9,2017-10,43236,Afghanistan
10,2017-11,22596,Afghanistan
11,2017-12,31428,Afghanistan
12,2018-01,33864,Afghanistan
13,2018-02,21948,Afghanistan
14,2018-03,27432,Afghanistan
15,2018-04,33528,Afghanistan
16,2018-05,51168,Afghanistan
17,2018-06,43644,Afghanistan
18,2018-07,65352,Afghanistan
19,2018-08,58680,Afghanistan
20,2018-09,50712,Afghanistan
21,2018-10,43044,Afghanistan
22,2018-11,47220,Afghanistan
23,2018-12,42576,Afghanistan
24,2019-01,39060,Afghanistan
25,2019-02,30012,Afghanistan
26,2019-03,37908,Afghanistan
27,2019-04,33636,Afghanistan
28,2019-05,40848,Afghanistan
29,2019-06,38820,Afghanistan
30,2019-07,52656,Afghanistan
31,2019-08,53976,Afghanistan
32,2019-09,66000,Afghanistan
33,2019-10,43116,Afghanistan
34,2019-11,27108,Afghanistan
35,2019-12,36156,Afghanistan
36,2020-01,20868,Afghanistan
37,2020-02,16956,Afghanistan
38,2020-03,19944,Afghanistan
39,2020-04,26520,Afghanistan
40,2020-05,26904,Afghanistan
41,2020-06,29940,Afghanistan
42,2020-07,44100,Afghanistan
43,2020-08,35772,Afghanistan
44,2020-09,38580,Afghanistan
45,2020-10,41484,Afghanistan
46,2020-11,39528,Afghanistan
47,2020-12,35592,Afghanistan
48,2021-01,36660,Afghanistan
49,2021-02,32928,Afghanistan
50,2021-03,28824,Afghanistan
51,2021-04,43272,Afghanistan
52,2021-05,76608,Afghanistan
53,2021-06,103008,Afghanistan
54,2021-07,105504,Afghanistan
55,2021-08,70908,Afghanistan
56,2021-09,3468,Afghanistan
57,2021-10,5052,Afghanistan
58,2021-11,3312,Afghanistan
59,2021-12,2304,Afghanistan
60,2022-01,3852,Afghanistan
61,2022-02,2892,Afghanistan
62,2022-03,2592,Afghanistan
63,2022-04,6480,Afghanistan
64,2022-05,5088,Afghanistan
65,2022-06,6408,Afghanistan
66,2022-07,4644,Afghanistan
67,2022-08,4704,Afghanistan
68,2022-09,4920,Afghanistan
69,2022-10,3564,Afghanistan
70,2022-11,1644,Afghanistan
71,2022-12,1632,Afghanistan
72,2023-01,1452,Afghanistan
73,2023-02,1008,Afghanistan
74,2023-03,1524,Afghanistan
75,2023-04,1308,Afghanistan
76,2023-05,1296,Afghanistan
77,2023-06,684,Afghanistan
78,2023-07,708,Afghanistan
79,2023-08,1428,Afghanistan
80,2023-09,1128,Afghanistan
81,2023-10,1164,Afghanistan
82,2023-11,996,Afghanistan
83,2023-12,792,Afghanistan
0,2017-01,48,Angola
1,2017-02,156,Angola
2,2017-03,0,Angola
3,2017-04,192,Angola
4,2017-05,204,Angola
5,2017-06,96,Angola
6,2017-07,36,Angola
7,2017-08,0,Angola
8,2017-09,36,Angola
9,2017-10,0,Angola
10,2017-11,0,Angola
11,2017-12,36,Angola
12,2018-01,12,Angola
13,2018-02,12,Angola
14,2018-03,0,Angola
15,2018-04,72,Angola
16,2018-05,0,Angola
17,2018-06,12,Angola
18,2018-07,12,Angola
19,2018-08,0,Angola
20,2018-09,84,Angola
