,2017,2018,2019,2020,2021,2022,2023
Afghanistan,635.789,582.323,586.204,611.268,443.385,no data,no data
Albania,4525.887,5257.714,5345.058,5278.986,6259.762,6657.637,8057.49
Algeria,4014.707,4106.997,3953.402,3321.601,3659.709,4306.82,4874.706
Andorra,40017.741,42229.903,40688.491,36973.845,41806.876,41084.874,44107.317
Angola,4039.3,3240.858,2612.246,1709.283,2169.648,3438.147,2550.001
Antigua and Barbuda,15686.747,16889.792,17370.041,14468.071,15709.338,17441.463,19068.279
Argentina,14618.327,11786.433,10054.023,8571.937,10631.665,13619.875,13297.425
Armenia,3868.906,4195.963,4596.861,4268.55,4679.46,6587.219,8283.119
Aruba,28440.093,30082.212,31096.315,23565.55,28813.136,33032.454,35717.948
Australia,55804.163,56352.938,54289.066,53094.491,63841.724,64813.854,63487.049
Austria,47320.537,51234.477,50195.321,48857.083,53528.707,52191.771,58013.273
Azerbaijan,4217.653,4759.796,4826.352,4240.844,5418.013,7750.882,7529.695
"Bahamas, The",32471.737,33183.686,33888.774,25049.586,29230.943,32298.948,34370.86
Bahrain,23631.585,25149.47,26051.303,23516.919,26116.253,28781.493,28464.173
Bangladesh,1839.755,1991.739,2154.227,2270.348,2497.741,2730.846,2621.288
Barbados,17435.312,17795.112,18540.379,16227.217,16782.075,19647.869,21442.447
Belarus,5778.564,6351.76,6831.516,6515.654,7294.902,7868.911,7477.293
Belgium,44274.073,47685.347,46783.005,45545.233,51472.103,49843.163,53656.833
Belize,5894.291,5847.778,5916.225,4935.56,5792.136,6757.498,7141.538
Benin,1094.888,1194.023,1171.015,1239.74,1360.386,1303.379,1449.112
Bhutan,3137.633,3413.308,3322.527,3247.926,3245.411,3491.984,3500.486
Bolivia,3388.523,3588.089,3591.403,3172.556,3449.384,3705.266,3857.843
Bosnia and Herzegovina,5230.13,5859.283,5867.26,5800.481,6800.487,7059.993,7778.298
Botswana,6705.341,6947.818,6679.188,5863.182,7238.796,7737.655,7758.371
Brazil,10419.576,9629.603,9364.237,7344.529,8165.637,9455.328,10412.997
Brunei Darussalam,28443.168,31074.01,29865.278,27174.73,31781.303,37850.978,34383.527
Bulgaria,8414.389,9489.657,9914.386,10170.723,12300.185,13821.205,16086.569
Burkina Faso,714.64,779.509,772.227,833.783,891.781,831.658,888.029
Burundi,291.859,271.289,261.294,259.906,273.956,310.986,245.811
Cabo Verde,3596.388,3811.549,4053.646,3359.53,3665.199,4048.436,4502.784
Cambodia,1448.02,1587.935,1736.317,1643.758,1679.921,1801.87,1915.628
Cameroon,1468.929,1585.96,1533.161,1539.354,1667.318,1587.953,1721.954
Canada,45191.993,46625.859,46449.962,43383.713,52387.812,55036.52,53246.981
Central African Republic,450.744,488.553,480.145,494.489,525.164,490.94,539.24
Chad,671.18,713.426,689.327,654.882,697.038,694.594,702.845
Chile,15003.77,15755.003,14567.988,13067.742,16092.149,15166.472,17253.752
"China, People's Republic of",8760.259,9848.949,10170.061,10525.001,12572.071,12669.617,12541.403
Colombia,6577.287,6923.64,6540.141,5363.067,6239.269,6658.119,6975.868
Comoros,1300.566,1386.014,1359.75,1357.291,1395.028,1294.354,1377.022
"Congo, Dem. Rep. of the",478.789,564.342,578.891,536.45,611.493,679.579,675.477
"Congo, Republic of ",2721.179,3316.879,3060.094,2453.191,2789.702,2838.369,2857.614
Costa Rica,12185.259,12428.924,12691.126,12163.927,12472.833,13074.905,16213.262
Croatia,13556.318,15009.085,15089.373,14231.063,17770.9,18305.03,20876.461
Cyprus,26834.665,29630.487,29624.708,28141.95,31726.322,31459.344,34790.581
Czech Republic,20605.825,23380.772,23616.011,22984.459,26794.625,26832.304,30474.529
Côte d'Ivoire,2103.872,2285.248,2279.707,2339.728,2597.695,2473.051,2728.079
Denmark,57772.553,61724.492,59678.596,60926.877,69466.552,68294.907,71402.141
Djibouti,2926.153,3038.268,3172.748,3223.83,3378.403,3604.101,3761.241
Dominica,7507.368,7981.044,8466.407,6872.22,7530.367,8462.278,9356.049
Dominican Republic,7874.941,8340.961,8595.18,7553.509,8962.314,10711.156,11248.789
Ecuador,6216.606,6318.477,6260.603,5670.33,5978.915,6389.424,6500.047
Egypt,2592.707,2710.158,3240.513,3802.438,4145.939,4587.172,3770.133
El Salvador,3986.018,4145.89,4280.3,3961.746,4664.288,5127.315,5557.577
Equatorial Guinea,9624.532,9968.089,8355.342,7035.452,8447.959,7853.892,6502.187
Eritrea,557.857,580.845,566.731,no data,no data,no data,no data
Estonia,20430.567,23176.358,23584.26,23546.32,27716.897,28136.261,30998.324
Eswatini,4031.056,4225.743,4031.719,3535.09,4164.801,4201.902,3995.029
Ethiopia,822.704,839.861,948.851,969.014,974.185,1156.478,1473.36
Fiji,6049.889,6272.733,6084.97,4926.673,4758.647,5474.303,6024.783
Finland,46437.211,50032.02,48667.723,49168.162,53664.908,51029.52,54507.139
France,40134.128,43060.59,41924.837,40529.093,45201.234,42349.887,46315.204
Gabon,7370.349,8198.56,8086.528,7276.301,9476.107,9770.921,8831.823
"Gambia, The",676.656,729.035,768.921,747.886,820.584,841.947,903.293
